Date,Open,High,Low,Close,Adj Close,Volume,Earnings
02/10/1995,1000.71,1000.71,983.54,984.12,984.12,22118000,
03/10/1995,983.75,983.75,976.98,977.24,977.24,18344000,
04/10/1995,977.4,988.32,976.54,988.32,988.32,28521000,
05/10/1995,988.32,988.78,982.02,985.62,985.62,32313000,
06/10/1995,985.67,985.67,982.07,983.81,983.81,24387000,
09/10/1995,983.82,984.57,974.45,976.5,976.5,21098000,
10/10/1995,976.45,976.45,967.51,970.75,970.75,21063000,
11/10/1995,970.75,970.75,957.6,958.8,958.8,20306000,
12/10/1995,959,963.35,957.32,961.94,961.94,19203000,
13/10/1995,962.32,964.01,961.2,963.13,963.13,17085000,
16/10/1995,962.89,963.18,955.08,957.37,957.37,18412000,
17/10/1995,957.35,957.35,942.3,945.86,945.86,25962000,
18/10/1995,945.76,949.39,942.63,946.72,946.72,19499000,
19/10/1995,946.69,948.3,942.73,944.81,944.81,21375000,
20/10/1995,944.74,959.51,944.62,959.23,959.23,22981000,
24/10/1995,958.63,958.71,948.41,948.41,948.41,27029000,
25/10/1995,948.23,956.33,948.23,955.87,955.87,22509000,
26/10/1995,955.87,966.68,955.87,966.68,966.68,22123000,
27/10/1995,966.78,970.7,962.43,962.64,962.64,25383000,
30/10/1995,962.5,962.55,953.38,954.77,954.77,19278000,
31/10/1995,954.81,957.61,950.47,957.61,957.61,19275000,
01/11/1995,956.54,956.61,941.15,941.78,941.78,23542000,
02/11/1995,941.57,941.57,920.15,923.52,923.52,21270000,
03/11/1995,923.92,925.6,920.77,924.5,924.5,21453000,
06/11/1995,913.8,930.51,913.8,927.29,927.29,18147000,
07/11/1995,926.75,926.75,917.76,918.59,918.59,17348000,
08/11/1995,918.66,918.66,911.5,913.43,913.43,43852000,
09/11/1995,913.47,913.65,903.01,903.94,903.94,29199000,
10/11/1995,904.17,904.17,891.67,899.47,899.47,17818000,
13/11/1995,898.23,899.57,887.91,888.5,888.5,21817000,
14/11/1995,888.5,888.5,880.07,883.96,883.96,19562000,
15/11/1995,883.88,896.9,881.58,895.47,895.47,23418000,
16/11/1995,895.12,901.7,893.4,894.04,894.04,37850000,
17/11/1995,893.34,895.1,888.16,888.91,888.91,22128000,
20/11/1995,889.43,894.44,889.43,893.8,893.8,22643000,
21/11/1995,893.98,917.21,893.98,917.21,917.21,27453000,
22/11/1995,918.83,935.28,918.83,935,935,28353000,
23/11/1995,935.57,940.9,926.65,929.03,929.03,20728000,
24/11/1995,922.52,928.73,920.48,922.41,922.41,18315000,
27/11/1995,922.43,928.88,922.29,928.66,928.66,34986000,
28/11/1995,928.74,948.54,928.74,948.54,948.54,48620000,
29/11/1995,949.29,953.12,947.38,949.86,949.86,54133000,
30/11/1995,949.89,951.98,942.2,951.69,951.69,19048000,
01/12/1995,951.47,975.54,949.37,975.54,975.54,21274000,
04/12/1995,976.71,988,976.71,985.24,985.24,27746000,
05/12/1995,985.76,991.57,982.18,991.57,991.57,35301000,
06/12/1995,992.05,1004.38,992.05,995.76,995.76,27802000,
07/12/1995,996.51,999.69,984.26,986,986,47548000,
08/12/1995,985.9,985.99,976.47,976.96,976.96,46020000,
11/12/1995,976.97,977.58,973.15,974.78,974.78,46829000,
12/12/1995,975.15,982.36,975.15,979.25,979.25,53670000,
13/12/1995,980.07,985.95,979.72,984.28,984.28,31684000,
14/12/1995,984.39,996.26,984.39,996.26,996.26,26346000,
15/12/1995,996.2,997.98,987.01,990.52,990.52,15746000,
18/12/1995,990.55,990.55,980.77,984,984,29489000,
19/12/1995,982.59,982.59,974.52,977.49,977.49,33420000,
20/12/1995,977.85,997.1,977.85,997.02,997.02,44117000,
21/12/1995,996.02,1000.66,994.89,1000.66,1000.66,30392000,
22/12/1995,1001.55,1001.94,990.46,991.54,991.54,23305000,
26/12/1995,991.56,991.56,982.74,984.53,984.53,25136000,
27/12/1995,984.64,984.88,981.83,984.12,984.12,39507000,
28/12/1995,984.08,996.72,981.6,993.93,993.93,35762000,
29/12/1995,993.65,997.94,991.58,995.17,995.17,19516000,
02/01/1996,994.72,994.9,987.89,993.18,993.18,12685000,
03/01/1996,993.22,1020.11,993.22,1020.11,1020.11,16990000,
04/01/1996,1022.88,1049.66,1022.88,1046.1,1046.1,31159000,
05/01/1996,1046.94,1046.94,1038.54,1042.06,1042.06,29033000,
08/01/1996,1042.62,1054.54,1042.59,1054.54,1054.54,10963000,
09/01/1996,1054.93,1060.11,1047.33,1050.75,1050.75,48369000,
10/01/1996,1051.01,1056.76,1048.13,1052.77,1052.77,97465000,
11/01/1996,1052.11,1052.11,1043.87,1046.79,1046.79,61481000,
12/01/1996,1048.77,1063.46,1048.77,1061.77,1061.77,69498000,
15/01/1996,1063.89,1075.58,1063.89,1072.55,1072.55,64883000,
16/01/1996,1072.94,1076.78,1064.86,1069.66,1069.66,82280000,
17/01/1996,1071.02,1077.27,1071.02,1072.35,1072.35,50845000,
18/01/1996,1072.69,1073.73,1038.86,1038.86,1038.86,80826000,
19/01/1996,1039.01,1058.25,1021.92,1056.69,1056.69,83349000,
22/01/1996,1057.69,1065.64,1056.45,1064.53,1064.53,65499000,
23/01/1996,1064.9,1071.48,1061.56,1071.48,1071.48,46157000,
24/01/1996,1071.89,1073.16,1059.55,1060.5,1060.5,47605000,
25/01/1996,1063.73,1064.42,1052.48,1056.69,1056.69,56944000,
26/01/1996,1054.1,1057.27,1049.8,1051.4,1051.4,50797000,
29/01/1996,1051.95,1052.62,1037.84,1041.26,1041.26,41376000,
30/01/1996,1041.14,1052.89,1033.45,1052.89,1052.89,48614400,
31/01/1996,1055.91,1067.48,1055.42,1055.42,1055.42,44997400,
02/02/1996,1059.49,1073.22,1059.49,1073.18,1073.18,46198800,
05/02/1996,1073.58,1082.02,1073.58,1079.88,1079.88,42751800,
06/02/1996,1080.34,1083.56,1075.37,1082.79,1082.79,41951800,
07/02/1996,1083.25,1083.25,1075.67,1080.01,1080.01,57219000,
08/02/1996,1080.8,1081.39,1067.2,1071.9,1071.9,65428400,
09/02/1996,1071.37,1071.37,1056.44,1059.55,1059.55,54857200,
12/02/1996,1059.97,1060.15,1055.97,1059.67,1059.67,48375400,
13/02/1996,1059.74,1066.69,1055.51,1064.23,1064.23,47768400,
14/02/1996,1064.66,1071.07,1063.93,1069.96,1069.96,42583000,
15/02/1996,1070,1085.32,1068.53,1085.32,1085.32,34881000,
16/02/1996,1084.89,1090.05,1083.16,1090.05,1090.05,31050000,
26/02/1996,1090.78,1095.27,1088.71,1090.06,1090.06,27832600,
27/02/1996,1088.77,1088.77,1075.4,1077.48,1077.48,29440800,
28/02/1996,1078.25,1078.3,1073.38,1076.95,1076.95,58627600,
29/02/1996,1077.58,1084.41,1077.35,1084.41,1084.41,53084400,
01/03/1996,1084.69,1093.56,1082.53,1093.56,1093.56,38049600,
04/03/1996,1094.72,1106.9,1094.72,1106.9,1106.9,23624600,
05/03/1996,1108.4,1124.39,1108.4,1124.39,1124.39,33102000,
06/03/1996,1125.04,1137.86,1125.04,1136.14,1136.14,31385200,
07/03/1996,1138.24,1146.45,1128.9,1132.5,1132.5,45328800,
08/03/1996,1131.84,1133.75,1114.73,1116.1,1116.1,54401200,
11/03/1996,1111.09,1111.09,1073.04,1082.99,1082.99,72914400,
12/03/1996,1095.03,1104.97,1095.03,1099.94,1099.94,98107600,
13/03/1996,1099.13,1099.13,1082.43,1084.83,1084.83,79277000,
14/03/1996,1085.91,1109,1085.77,1109,1109,80365800,
15/03/1996,1112.86,1119.98,1112.86,1119.89,1119.89,69163000,
18/03/1996,1119.79,1119.86,1108.98,1115.72,1115.72,48954000,
19/03/1996,1117.41,1122.99,1117.41,1122.53,1122.53,46921400,
20/03/1996,1122.53,1126.9,1119.81,1126.9,1126.9,43145200,
21/03/1996,1127.27,1148.53,1125.11,1148.53,1148.53,42635800,
22/03/1996,1148.25,1152.49,1145.01,1150.65,1150.65,29997000,
25/03/1996,1150.54,1160.89,1149.3,1160.83,1160.83,46333000,
26/03/1996,1161.4,1165.35,1156.57,1164.49,1164.49,40290400,
27/03/1996,1163.57,1164.65,1152,1154,1154,67690000,
28/03/1996,1153,1153,1144.57,1146.87,1146.87,52691600,
29/03/1996,1145.74,1150.92,1142.58,1149.08,1149.08,55638800,
01/04/1996,1148.91,1158.44,1148.88,1158.44,1158.44,88882800,
02/04/1996,1158.6,1158.6,1150.25,1153.22,1153.22,54426400,
03/04/1996,1153.82,1156.01,1151.69,1155.66,1155.66,34370000,
04/04/1996,1155.31,1158.65,1155.31,1156.09,1156.09,47402800,
05/04/1996,1156.74,1156.76,1151.2,1153.09,1153.09,72408400,
08/04/1996,1153.21,1153.21,1131.96,1134.63,1134.63,55358000,
09/04/1996,1133.46,1137.66,1132.03,1133.9,1133.9,54380400,
10/04/1996,1135.69,1152.74,1135.69,1151.74,1151.74,53398400,
11/04/1996,1150.49,1152.66,1143.36,1147.61,1147.61,28169000,
12/04/1996,1147.54,1151.72,1147.54,1150.24,1150.24,34197800,
15/04/1996,1142.82,1160.48,1142.82,1160.48,1160.48,36626000,
16/04/1996,1162.4,1170.33,1162.4,1167.37,1167.37,53680600,
17/04/1996,1168.24,1170.04,1163.45,1165.03,1165.03,48873600,
18/04/1996,1164.98,1167.33,1162.41,1167.28,1167.28,50005400,
19/04/1996,1167.43,1172.51,1166.91,1172.2,1172.2,71359600,
22/04/1996,1172.98,1174.42,1168.02,1174.23,1174.23,78016800,
23/04/1996,1175.06,1180.64,1169.58,1173.88,1173.88,62638800,
24/04/1996,1174.3,1175.69,1166.34,1169.44,1169.44,65616600,
25/04/1996,1169.81,1170.05,1159.5,1162.14,1162.14,54394000,
26/04/1996,1162.45,1173.43,1161.75,1173.43,1173.43,65912400,
30/04/1996,1173.34,1189.54,1173.34,1189.54,1189.54,74251400,
02/05/1996,1192.18,1193.34,1183.44,1186.13,1186.13,52264000,
03/05/1996,1184.97,1184.97,1174.2,1178.43,1178.43,93908000,
06/05/1996,1178.7,1178.79,1163.78,1164.32,1164.32,50292400,
07/05/1996,1163.5,1169.29,1159.24,1161.94,1161.94,80531200,
08/05/1996,1160.62,1160.62,1149.84,1151.79,1151.79,89406200,
09/05/1996,1155.85,1162.14,1155.72,1162.14,1162.14,75395400,
10/05/1996,1162.47,1163.61,1160.02,1160.06,1160.06,50724400,
13/05/1996,1160.59,1165.24,1158.48,1163.96,1163.96,52973800,
14/05/1996,1164.39,1168.48,1160.31,1163.99,1163.99,40715200,
15/05/1996,1163.83,1164.34,1150.23,1154.09,1154.09,50842800,
16/05/1996,1152.41,1153.26,1145.87,1149.98,1149.98,38087400,
17/05/1996,1150.05,1155.55,1147.66,1155.55,1155.55,39779200,
21/05/1996,1156.29,1158.88,1143.65,1146.08,1146.08,54427400,
22/05/1996,1147.01,1147.01,1139.84,1140.4,1140.4,52463400,
23/05/1996,1140.96,1145.4,1140.4,1141.54,1141.54,59899800,
24/05/1996,1142.07,1153.36,1141.98,1151.69,1151.69,49099600,
27/05/1996,1151.68,1151.68,1136.96,1140.7,1140.7,49341400,
28/05/1996,1138.93,1141.98,1125.45,1141.98,1141.98,37910800,
29/05/1996,1141.1,1145.75,1134.27,1137.95,1137.95,36585000,
30/05/1996,1138.14,1141.07,1133.3,1141.07,1141.07,45224000,
03/06/1996,1139.78,1139.78,1130.59,1131.5,1131.5,33172400,
04/06/1996,1132.12,1134.28,1130.12,1133.62,1133.62,33389600,
05/06/1996,1133.96,1136.48,1130.91,1135.39,1135.39,39747400,
06/06/1996,1134.79,1135.18,1130.82,1134.75,1134.75,33429000,
07/06/1996,1134.81,1135.11,1130.78,1131.67,1131.67,22669000,
10/06/1996,1131.8,1132.48,1126.27,1128.87,1128.87,26604000,
11/06/1996,1128.75,1128.75,1120.2,1121.92,1121.92,38837400,
12/06/1996,1121.44,1123.48,1117.62,1123.48,1123.48,29396400,
13/06/1996,1123.42,1123.42,1116.12,1121.62,1121.62,29675400,
14/06/1996,1121.55,1126.36,1121.08,1125.48,1125.48,26263400,
17/06/1996,1125.53,1125.53,1119.75,1124.81,1124.81,26778800,
18/06/1996,1124.87,1125.03,1121.83,1124.95,1124.95,32108000,
19/06/1996,1123.89,1132.23,1123.5,1130.27,1130.27,32320000,
20/06/1996,1129.91,1142.33,1128.8,1142.33,1142.33,29523200,
21/06/1996,1141.88,1147.81,1140.17,1146.38,1146.38,17647000,
