Date,3M Normal,3M Enhanced,3M ML,6M Normal,6M Enhanced,6M ML,12M Normal,12M Enhanced,12M ML,Average Risk-free rate return (converted to monthly)
31/12/1999,-0.034574345,-0.041054865,-0.034574345,0.009920488,0.007388802,0.009920488,-0.016667033,-0.01005414,-0.016667033,0.003076543
31/1/2000,0.015669801,0.004131452,0.015669801,-0.007803862,-0.000933256,-0.007803862,0.105021007,0.100959641,0.105021007,0.003076543
29/2/2000,0.137949234,0.122510201,0.137949234,0.065633496,0.05410253,0.065633496,-0.04827217,-0.033115384,-0.04827217,0.003076543
31/3/2000,0.042034579,0.027316744,0.042034579,0.053384695,0.028369955,0.053384695,-0.055048623,-0.061854202,-0.055048623,0.003076543
30/4/2000,-0.052850382,-0.070243087,-0.052850382,-0.049555026,-0.051552622,-0.049555026,-0.030804578,-0.023865566,-0.030804578,0.003076543
31/5/2000,0.017492781,0.010825416,0.017492781,-0.01756588,-0.017013631,-0.01756588,-0.021659859,-0.018976513,-0.021659859,0.003076543
30/6/2000,0.027657394,0.044913444,0.027657394,0.012985917,0.009740719,0.012985917,0.025627668,0.028898367,0.025627668,0.003076543
31/7/2000,-1.96322E-05,0.012043937,-1.96322E-05,0.020913879,0.028730123,0.020913879,0.00683708,-0.004094769,0.00683708,0.003076543
31/8/2000,0.020360962,0.056631634,0.020360962,0.071343527,0.071309937,0.071343527,0.066738911,0.058812803,0.066738911,0.003076543
30/9/2000,-0.012081818,-0.03112665,-0.012081818,0.068710219,0.071941596,0.068710219,0.031210709,0.037451224,0.031210709,0.003076543
31/10/2000,0.001415792,0.006141055,0.001415792,-0.015807944,-0.014938431,-0.015807944,-0.027874457,-0.027179673,-0.027874457,0.003076543
30/11/2000,0.008170521,0.007558489,0.008170521,0.011550982,0.009439357,0.011550982,-0.008835974,0.001529215,-0.008835974,0.003076543
31/12/2000,0.021011058,0.042099149,0.021011058,0.091446679,0.081614421,0.091446679,0.077373503,0.079356695,0.077373503,0.003076543
31/1/2001,-0.046026081,-0.04548183,-0.046026081,-0.099492549,-0.100435364,-0.099492549,-0.093570595,-0.086831076,-0.093570595,0.003076543
28/2/2001,0.056313465,0.114659865,0.056313465,0.131999823,0.129659272,0.131999823,0.132932106,0.131772244,0.132932106,0.003076543
31/3/2001,-0.045991555,-0.034039258,-0.045991555,0.056295771,0.054929711,0.056295771,0.110400026,0.108291586,0.110400026,0.003076543
30/4/2001,-0.019619092,-0.04723313,-0.019619092,-0.02296679,-0.0179969,-0.02296679,-0.056935001,-0.049510811,-0.056935001,0.003076543
31/5/2001,-0.009471343,-0.017273939,-0.009471343,-0.037232458,-0.029534755,-0.037232458,-0.031281356,-0.033072258,-0.031281356,0.003076543
