Date,3M Normal,3M Enhanced,3M ML,6M Normal,6M Enhanced,6M ML,12M Normal,12M Enhanced,12M ML,Average Risk-free rate return (converted to monthly)
31/1/2001,0.034,0.037,0.034,0.018,0.017,0.018,0.030,0.035,0.030,0.003076543
28/2/2001,-0.032,-0.029,-0.032,-0.026,-0.029,-0.026,-0.034,-0.033,-0.034,0.003076543
31/3/2001,-0.167,-0.161,-0.167,-0.120,-0.119,-0.120,-0.097,-0.097,-0.097,0.003076543
30/4/2001,-0.017,-0.022,-0.017,-0.018,-0.008,-0.018,-0.038,-0.025,-0.038,0.003076543
31/5/2001,0.027,0.022,0.027,0.013,0.018,0.013,0.018,0.019,0.018,0.003076543
30/6/2001,-0.008,-0.006,-0.008,0.001,0.003,0.001,0.002,0.003,0.002,0.003076543
31/7/2001,0.187,0.183,0.187,0.118,0.116,0.118,0.081,0.077,0.081,0.003076543
31/8/2001,0.021,0.024,0.021,0.017,0.025,0.017,0.018,0.019,0.018,0.003076543
30/9/2001,-0.222,-0.223,-0.222,-0.191,-0.190,-0.191,-0.138,-0.141,-0.138,0.003076543
31/10/2001,0.033,0.043,0.033,0.000,0.006,0.000,0.023,0.031,0.023,0.003076543
30/11/2001,0.066,0.068,0.066,0.086,0.085,0.086,0.049,0.055,0.049,0.003076543
31/12/2001,-0.003,0.002,-0.003,0.011,0.018,0.011,0.017,0.022,0.017,0.003076543
31/1/2002,0.023,0.030,0.023,0.042,0.046,0.042,0.049,0.049,0.049,0.003076543
28/2/2002,-0.038,-0.033,-0.038,-0.032,-0.031,-0.032,-0.028,-0.025,-0.028,0.003076543
31/3/2002,0.103,0.099,0.103,0.109,0.099,0.109,0.085,0.088,0.085,0.003076543
30/4/2002,0.079,0.079,0.079,0.081,0.082,0.081,0.075,0.081,0.075,0.003076543
31/5/2002,-0.105,-0.100,-0.105,-0.084,-0.084,-0.084,-0.075,-0.078,-0.075,0.003076543
30/6/2002,-0.035,-0.031,-0.035,-0.045,-0.042,-0.045,-0.042,-0.042,-0.042,0.003076543
31/7/2002,-0.005,-0.003,-0.005,-0.007,-0.008,-0.007,-0.004,-0.005,-0.004,0.003076543
31/8/2002,-0.004,-0.002,-0.004,-0.011,-0.008,-0.011,-0.015,-0.014,-0.015,0.003076543
30/9/2002,-0.114,-0.113,-0.114,-0.109,-0.109,-0.109,-0.127,-0.126,-0.127,0.003076543
31/10/2002,0.016,0.014,0.016,0.020,0.021,0.020,0.043,0.043,0.043,0.003076543
30/11/2002,-0.007,-0.015,-0.007,0.008,0.000,0.008,-0.008,-0.010,-0.008,0.003076543
31/12/2002,-0.039,-0.033,-0.039,-0.032,-0.013,-0.032,-0.007,-0.008,-0.007,0.003076543
31/1/2003,0.019,0.021,0.019,0.003,-0.005,0.003,0.012,0.009,0.012,0.003076543
28/2/2003,-0.046,-0.047,-0.046,-0.036,-0.036,-0.036,-0.045,-0.048,-0.045,0.003076543
31/3/2003,-0.048,-0.047,-0.048,-0.030,-0.025,-0.030,-0.043,-0.044,-0.043,0.003076543
30/4/2003,-0.005,-0.006,-0.005,-0.008,-0.009,-0.008,0.000,-0.001,0.000,0.003076543
31/5/2003,0.081,0.078,0.081,0.066,0.061,0.066,0.058,0.050,0.058,0.003076543
30/6/2003,0.073,0.075,0.073,0.073,0.072,0.073,0.039,0.037,0.039,0.003076543
31/7/2003,0.114,0.104,0.114,0.075,0.085,0.075,0.051,0.049,0.051,0.003076543
31/8/2003,0.046,0.041,0.046,0.039,0.044,0.039,0.036,0.038,0.036,0.003076543
30/9/2003,-0.032,-0.037,-0.032,-0.019,-0.021,-0.019,-0.016,-0.024,-0.016,0.003076543
31/10/2003,0.145,0.140,0.145,0.168,0.164,0.168,0.149,0.149,0.149,0.003076543
30/11/2003,-0.037,-0.041,-0.037,-0.048,-0.052,-0.048,-0.046,-0.043,-0.046,0.003076543
31/12/2003,-0.003,-0.002,-0.003,-0.011,-0.009,-0.011,-0.005,-0.003,-0.005,0.003076543
31/1/2004,0.037,0.043,0.037,0.026,0.024,0.026,0.039,0.042,0.039,0.003076543
29/2/2004,0.050,0.055,0.050,0.044,0.057,0.044,0.068,0.068,0.068,0.003076543
31/3/2004,-0.027,-0.020,-0.027,-0.026,-0.018,-0.026,-0.026,-0.025,-0.026,0.003076543
30/4/2004,-0.031,-0.034,-0.031,-0.034,-0.035,-0.034,-0.059,-0.059,-0.059,0.003076543
31/5/2004,-0.075,-0.073,-0.075,-0.083,-0.080,-0.083,-0.095,-0.094,-0.095,0.003076543
30/6/2004,-0.016,-0.018,-0.016,-0.009,-0.009,-0.009,-0.008,-0.007,-0.008,0.003076543
31/7/2004,0.010,0.011,0.010,0.012,0.013,0.012,0.007,0.008,0.007,0.003076543
31/8/2004,-0.050,-0.040,-0.050,-0.037,-0.043,-0.037,-0.034,-0.032,-0.034,0.003076543
30/9/2004,0.025,0.032,0.025,0.018,0.011,0.018,0.005,0.001,0.005,0.003076543
